,hashtags,counts
1,'dh2020',122
2, 'digitalhumanities',78
3,'digitalhumanities',58
4, 'dh',40
5, 'dh2021',32
6,'cfp',26
7, 'humanidadesdigitales',26
8,'ach2021',24
9, 'informaticaumanistica',10
10,'dh',10
11,'dh2021',10
12,'humanistica2021',10
13,'dayofdh2021',8
14,'redhd',8
15,'humanidadesdigitales',8
16, 'humanitésnumériques',6
17,'dhsi21',6
18,'humanitésnumérique',6
19,'dhox2021',6
20, 'humanidadesdigitais',4
21,'virtualdhsi',4
22, 'dhsi20',4
23, 'multilingualdh',4
24,'csdhschn2020',4
25,'jadh2020',4
26, 'dh2020',4
27,'jadh2021',4
28, 'digitalegeisteswissenschaften',4
29,'spectrumsofdh',4
30,'csdhschn2021',4
31, 'humanitésnumérique',4
32,'blacklivesmatter',4
33,'convocatoria',4
34,'dhn2020',2
35,'acnh',2
36,'openaccess',2
37, 'red_hd',2
38,'reseñaredhd',2
39, 'digitalhumanitiesjobs',2
40,'convocatoriahd',2
41, 'dhpedagogy',2
42, 'humanitiésnumériques',2
43,'linkeddata',2
44,'phd',2
45, 'adhodotorg',2
46, 'humanitiesathome',2
47,'culture',2
48, 'network',2
49, 'oupjournals',2
50, 'oupacademic',2
51,'ire_info_cfp',2
52, 'dayofdh2020',2
53, 'virtualdhsi',2
54,'dhsi20',2
55, 'dhpm20',2
56,'dayofdh2020',2
57,'rtl21',2
58,'dostc2020',2
59, 'sschat',2
60, 'arthistory',2
61, 'dhrussia',2
62,'picturingamerica',2
63, 'visualizations',2
64, 'dhsi21',2
65,'vdhd2021',2
66, 'humanitiesdata',2
67,'reviewsindh',2
68,'dhsieast',2
69, 'dayofdh',2
70, 'culturalheritage',2
71, 'crowdsourcing',2
72,'latinrev',2
73, 'digitalscholarship',2
74, 'job',2
75, 'ach2019',2
76, 'redhd',2
77, 'dhjobs',2
78, 'data',2
79,'audiovisual',2
80, 'dhox2022',2
81, 'tei',2
82, 'aiucd2022',2
83, 'umanisticainformatica',2
84,'blackdh',2
85,'culturaldataanalytics',2
86,'digitalarchives',2
87,'dadh2021',2
88, 'redhd2021',2
89,'somosredhd',2
90,'dhh21',2
91,'dhawards',2
92,'publishing',2
93,'education',2
94, 'opendigitaldiscussion',2
95,'icymi',2
96,'lemdo',2
97,'multilingualdh',2
98, 'dh2022',2
99, 'humanistica2021',2
100, 'dayofdh2021',2
101,'dayofdh',2
102,'hdrio20',2
103, 'diahd2020',2
