,quote_url,count
0,ADHOrg,30
1,achdotorg,18
2,Red_HD,14
3,eadh_org,14
4,csdhschn,10
5,dhoxss,6
6,Europeanaeu,4
7,ETCLatUVic,4
8,blros,2
9,dh_dharti,2
10,dh_japan,2
11,dibsroy86,2
12,ACNdigHum,2
13,james_yeku,2
14,kingsdigitallab,2
15,marijnkoolen,2
16,minsooklee,2
17,oneofstarsailor,2
18,quinnanya,2
19,randaelka,2
20,revista_hd,2
21,roopikarisam,2
22,shree_thorat,2
23,fiormont,2
24,ach2021,2
25,aurelberra,2
26,DH_FBK,2
27,AIUCD,2
28,AlyssaA_DHSI,2
29,CBardiot,2
30,CUDANLab,2
31,CecilyRaynor,2
32,DH2020_Ottawa,2
33,DHInstitute,2
34,DSHjournal,2
35,aaDHumanities,2
36,DayofDH,2
37,DigiOrientalist,2
38,FinClarin,2
39,HumanisticaDH,2
40,Laura_Estill,2
41,OpenBookPublish,2
42,TEIconsortium,2
43,wragge,2
